configuration,env_seed,init_state_dtype,init_state_index,init_state_sha256,init_state_shape,model_seed,protocol,task_id,success
BF16,3489610023,float64,4,ad6e3d768b047e190024a0a97a7869b0de5c83bfd7079cb2b048725b6c5c90f5,[92],931274181,paired,8,True
BF16,3561507932,float64,0,885cdd89e3d71824f79e4f0ae4711f9ca04367c0011147cb657ecc32be3f375b,[92],450174816,paired,9,True
BF16,4105394921,float64,1,9f7e0be6c15a36f64dae1f64c4e89799ab70078be2b9977ab38bce16aee041cf,[92],726939842,paired,9,True
BF16,2353877349,float64,2,6e3698ba2ffc6e03326d30f3fd411f63e4d5304a967abf515195cbbcc61f512b,[92],2107833754,paired,9,True
BF16,3274922811,float64,3,c886eacbd6a6b3c55108d5e17d8d0f865c08b7841f1c0f0393df6b4da9dc53c3,[92],1708122752,paired,9,False
BF16,3927573222,float64,4,49ada1c8c36ae86de4d6288f08b9434efbd67ded5688382fd38b0d4c95304177,[92],3202393551,paired,9,True
W4 all,479881589,float64,0,4e3eaf7a315bc3bafb6db4837c8eef0e5f8aea717782a2a3ea33139392d966ed,[92],465287134,paired,0,True
W4 all,3713942108,float64,1,6c2936dc25a97728b811f9db579687d011cbd231d5472e985775a67ca9892cf8,[92],985901067,paired,0,True
W4 all,2254903377,float64,2,a5d4b6d871eb48c276a3fc8499e1429ec1c59df278466aa82de44a93260087a0,[92],1089926278,paired,0,True
W4 all,1269467499,float64,3,c12064bdc97da3ba4ca3675548ba9c76ed096ea772bbec9ca9422628c41b1588,[92],428639054,paired,0,True
W4 all,976658741,float64,4,63dbd6b627e35e377a62f3e791055bc9051a74cab6fef9eadce7892671160536,[92],1138622588,paired,0,True
W4 all,1902436990,float64,0,d116842e01703fbea595511db813a3816c8d9f2302b4e979ebec4f15b7a750a2,[92],895221483,paired,1,True
W4 all,3193132351,float64,1,b8757ca36fc25bb010af8934ff98b8d3a221cbd3a5e38e7b07cc8055c3108a0b,[92],2238682485,paired,1,True
W4 all,2264057504,float64,2,d45a8bb759e662331e34b0ade8f7a4ca847993b682d3299aaa4894b340c845a0,[92],296476957,paired,1,True
W4 all,3330955239,float64,3,9cdfce0fe3434dc2c261272bc32dd3b56956de7c14e1e6d4c8a76aa7323e0f4d,[92],27433045,paired,1,True
W4 all,1406908098,float64,4,97916cb27d2a1b9650016b93bbc33aa2855dfbdd11ded29650da8357c5c418e2,[92],1425332404,paired,1,True
W4 all,149951664,float64,0,408c455fb617e5320060d643ef80ec2035d4e98600659cc3deb5a1e85482bf76,[92],1881067349,paired,2,True
W4 all,842477126,float64,1,05962fe9baf173d80806225d32a331fa8eedcdb5c14a085ee5354715380c0f8f,[92],2880381178,paired,2,True
W4 all,52979162,float64,2,111971abb8f2e699872e68aa0ed445287da5c2ed642a5da083a9c9d4d90a6d12,[92],3611984967,paired,2,True
W4 all,3892889163,float64,3,8e240fdf6a9c939b6cbf573f7e07a29d3078fb53d22b17dc595b730c0de21fd4,[92],3331343309,paired,2,True
W4 all,3817868962,float64,4,ec0ce01e43aac4b4465f6d7932a486df948ce36a096fe5970b677623505673a8,[92],1228687370,paired,2,True
W4 all,83054608,float64,0,36424fa758f0e72399a35cefa285d0658e4b5bd17bfb3e2127f85aa2e0944517,[92],317574532,paired,3,True
W4 all,974896410,float64,1,3a92ca9cb754b9daca5db603179f05e323c01209edfaf5d287655d5998252f9f,[92],1605081372,paired,3,True
W4 all,3267605957,float64,2,1b7b03eb038b60bd3d265226a1f5832c44ebb968731ac264f8983ceebb1774e5,[92],3086421667,paired,3,True
W4 all,5015874,float64,3,904c8983a02abc68413c2b0c2b1863f9b7f97a5948b718b9ae113727777ae23a,[92],3235596642,paired,3,True
W4 all,3841510475,float64,4,6aac318bd2ff7b4e940c094d4d4eb128449f99e34ce1fc2fb6e3bdba1c474b95,[92],2186097654,paired,3,True
W4 all,454137582,float64,0,2e3f91b350eaef1b23c2d4ee14c513b2158a106bff7ed6c249b58e2cf89367f4,[92],2839725875,paired,4,False
W4 all,3770009552,float64,1,d1f552d41794709fdcdccf886e4be6384f15a50c1d0e6227a99e08d86e19e23e,[92],17835078,paired,4,False
W4 all,2331244752,float64,2,d5a2a728be37ce588fd1326df08b48cb9e1913b333c6719bb7059308783d4731,[92],1139478388,paired,4,True
W4 all,4237915398,float64,3,7e950b4903eb62f247605b60952d62aca17222446e05c299de3d8b615756a2fb,[92],2244253804,paired,4,True
W4 all,1182429550,float64,4,eacc257cf75be38a89bdf75e5300cded0aee0ec1d0a2ac4b91d4c4cdb11c763b,[92],4040856599,paired,4,True
W4 all,1251647445,float64,0,63f019944e240d60a5770936f1eaa3853e38bbfeb1c26c987826fb004ed4346c,[92],1544747915,paired,5,True
W4 all,2672444698,float64,1,7e74f7975ea3899ecb94c8bee1f302127d74c600d13393826d7537db89bf9cc1,[92],2607068595,paired,5,True
W4 all,3347614016,float64,2,56ae454858e60cf316c3e75237109ba85d8808ab2ef57108c3f9b96c1e839ff3,[92],1925045440,paired,5,True
W4 all,1545292882,float64,3,316d2aba39523fa1219e5fd61ee263535f5d42fa5b34541af5397ddbb4de0f9f,[92],2281271119,paired,5,True
W4 all,517198148,float64,4,b41c19206da1db4e005476e6a4c4e077a5511aaa69cf52614dc483a9bd53773c,[92],2897598532,paired,5,True
W4 all,826398649,float64,0,d81530779b15be6bdfe4935a7a802102e3e3883823b29fefd40a2131e50fd515,[92],1638194258,paired,6,True
W4 all,143569100,float64,1,1f2318d9cbd670217d18ba98020fb95f9969550b5cb30709224eb6f2d08319cf,[92],1927004058,paired,6,True
W4 all,335908416,float64,2,f6387456ce397a4ffbd6700d00f37cf068df8df4c085350ecd576be0c06fe838,[92],1576122731,paired,6,True
W4 all,3969167129,float64,3,d19a9fb4d0ecb282facdf60aeb779a54566f6650fa8886721c253c21e5b4411c,[92],1173289843,paired,6,True
W4 all,2634446509,float64,4,62a70d2032d8d785b0a4afedbfce1abf35ff393e9d918b5aace7a41ab50ba13d,[92],1926457735,paired,6,True
W4 all,3272506420,float64,0,501105aff4e1897d96cac0d0ee69fc702ad209e317511807e27df8b421ae1f2a,[92],2049932347,paired,7,True
W4 all,3799089637,float64,1,9fb3287b9233e63f3c25de74a5c1697d6c3e3ce33d71da6cb975e98884df7b65,[92],4246749096,paired,7,True
W4 all,2004529019,float64,2,055ebb922514bbc2796db6201c2eb1f36c0f2dc6d3e906bdfed720d9d67f25e1,[92],25524276,paired,7,True
W4 all,2747523846,float64,3,fb10b9a998805283abff88cfd066b7f6b4130868e2b53e5f6def7247f72b6c5a,[92],2012816681,paired,7,True
W4 all,1757921602,float64,4,3caf9d7ec66e840dd915ee960dc5e226df2aee678fa087f77cac918e4169531e,[92],494137745,paired,7,True
W4 all,1263820061,float64,0,aef30979e2ee8c9893c9161c881264362f750a34df952f381e3969a567688451,[92],1552913463,paired,8,True
W4 all,1634911114,float64,1,50873b51eb943c92ce71438551a26675e253fe37622918167c060a16477577f7,[92],628809968,paired,8,True
W4 all,588345696,float64,2,4463e2e153ce61661d48384171f0532d4eb4c45158ab9c0325012e26c0a9d830,[92],390505965,paired,8,True
W4 all,824627188,float64,3,8d1fbf0d1785c75002a47f290b3b6d195d3a26b8c9a86cf95512ba804fd36d4b,[92],3805651402,paired,8,True
W4 all,3489610023,float64,4,ad6e3d768b047e190024a0a97a7869b0de5c83bfd7079cb2b048725b6c5c90f5,[92],931274181,paired,8,True
